id,tokens,label
65,"그냥 임신해서 낳아서 모유수유 하면 살이 쫙쫙빠지다못해 면역력이 약해져서 온갖 알러지성 병과 탈수 , 빈혈까지 생깁니다  시중 두유가 얼마나 살찌는데 ( ... )",1
66,중학교때 이후로 처음으로 피자헛 매장에서 피자 먹어봤다 . 샐러드바가 일품이였다 .  #먹스타그램 #피자 #피자헛 URL,1
67,"G마켓 RT @user : [ G마켓 트위터이벤트 ] 새롭게 태어난 G양이 말하고 싶은것은 무엇일까요 ? 팔로한후 빈칸채우고 RT 로 정답보내주세요 ^ 0 ^ / 추첨해서 4분께 베스킨케익 , 50분께 페로로로 ... URL",0
68,@user ㅇㅈㅇ 악기를 배워야겟군여 #마라카스 ,1
69,[ 수도권 09:00 분 현재 ] 수도권 전 구간 소통 원활합니다 . 감속 안전운행 하시기 바랍니다 .pic.twitter.com/6EqkxrD2,0
70,@user . 뭐뭨ㅋㅋㅋ,0
71,"@user 둘 다 하겠다니 , 그건 좀 욕심쟁이 ? ;P 헉 , 너구리 먹었다니 . 부럽지않아 . ",1
72,@user 초록색 ,1
73,@user 그래 . 편하게 하고 . ,1
74,영구지속적인 캐릭터 추가를 위해 스타3를 출시해야합니다 ! ,1
75,그 알라가 그 알라가 아닐텐데 ...  URL …,1
76,우체국쇼핑 우리 농산품으로 추석 선물 구입하시고 최대 20 % 할인까지 받으세요 . URL at 8: 59 AM,0
77,@user 본페보다 크로수가 더 많다면서요 ... 본페의 의미가 뭐야ㅏ아ㅏㅏㅏ 이 스케줄을 박살낼거야ㅏㅏ아ㅏㅏ ! ! 바보들이 무슨수로 짜겠어 ! ! ,1
78,@user 아니 괜찮은데 ? 원래 최애 다키정도는 덕의 필수품이잖아 ,1
79,남초와 터프쪽 모두에서 ' 재기해 ' 라는 말 정돈 들어야 자랑해볼법한 ... ,1
80,"@user .. ㅇ , 웃긴가 . - ?",0
81,""" @user : 컁컁 #첫인상은_이랬는데_나중에_알고보니_이렇더라_인용으로_알려주세요 "" ? ? ? 무슨여우인거지 ? -> ... 오빠아 ?",0
82,제2금융권 가계대출 증가율 예금은행 3배 : 지난 1년간 제2금융권의 가계대출 증가율이 시중은행의 3배에 달하는 것으로 나타났다 . 시중은행들이 신규 가계대출을 일부 중단하면서 금융소비자들이 .. URL,0
83,용준좌 드릴 맥주 사서 한국 간다 ... ,1
84,이예쓰 ! ! !  ㅋㅋㅋ오늘 일다녀왔지만 슈퍼문 보고왔거든요 ! ! 낮에 뜬 슈퍼문도 귀여웠어요 ! ! ! 누님도 즐거운 연휴 ! ! ! pic.twitter.com/6cqGWSpgW5,1
85,앱 정리하다가 ... 진짜 지디는 특별하다고 ' ㅁ ' ! ! ! 이걸발견하다니 운명인가  pic.twitter.com/VkgTIjZvus,1
86,@user 제목처럼 왠지 서글픈 한국의 현실 ... 소망합니다 ! 모두가 사랑하는 대한민국이 되기를 ... 고맙습니다 ! 글고 잘들었습니다 ! 오늘도 힘차고 즐거운 하루 되세요 ~ ( ^ ^ ) ( __ ) !,0
87,아 토나온다 이제 버스탔습니닼ㅋㅋㅋ,0
88,RT변기정도의 묘사라면 아직 상황이 괜찮군요 . ,1
89,@user 최고 . 한국삼실에 있는 고선생보다 낫구먼 ㅋㅋㅋ,0
90,@user 결국 나왔군요 ... * = _ = *,0
91,"RT @user : 누나언니동생에서 선물하세요 출산준비물 10종세트 URL [ 이벤트 ] 팔로윙 + 리트윗 + 링크클릭하시면 매주 7명 문화상품권 ( 5천원 ) 을 드립니다 "" """,0
92,@user ㅇㅇ,0
93,"테잎을 붙이지 않는 속눈썹증모술전문 "" 래쉬랩스 "" URL 이하얀 "" 부모 이혼 때문에 내가 이혼할 줄 생각도 못했다 "" URL",0
94,RT ) 여름날 새벽에 잔디밭을 신나게 뛰어다는 고라니가 포항 여름의 정취지요 ,1
95,안녕하세요,0
96,@user 시민들은 서로 치고박고 의심하도 밟아줘야 제맛이죠 ! ! ,1
97,@user 노원인 입니다 . 화이팅 !,0
98,누구보다도 더 사랑이 필요한 사람이 오히려 사랑이 필요없는 것처럼 행세를 한다는 건 아이러니가 아닌가 . 진정 외로운 마음이 젖어들거든 세상을 향해 사랑을 아이처럼 외쳐라 . < 앤드류 매튜스 >,0
99,그리고 2016년의 유일한 잘한 일을 좀더 훌륭하게 ...  #쓸엑이pic .twitter.com/WDtagmxjJC,1
100,@user 저참여할게욧 / / ㅎㅎ,0
101,Max - 최강 - 심 창민 - Shim Changmin : 110816 東方神起 [ Back to Tomorrow ] MENARD TVCM 30 URL ? spref = tw …,0
102,@user 두주니 오뽜는 항상 머리가 크게 나와영ㅠㅠ ( 미아내영 ),0
103,하모니넷 가입자 절체교육 URL,0
104,군사력은 비록 미국에 의지하지만 그 와중에 자주적인 태도로 미국을 잘 이용해 나라를 부강시켜도 모자랄 판에 미국의 주구를 자처하고 무리하게 이것저것 다 퍼주는게 지도자의 덕목은 아니죠 . 이미 세상은 철저하게 자국의 이익을 중요시하는걸로 바뀌는데 말이죠,0
105,rt ) 제명오빠 돈이 없어서 바지가 다 찢어지도록 입고 다니능가봉가 ,1
106,""" @user : 롯데의 소량의 멜라민은 사형감이고 , 해태의 대량의 멜라민은 용서 할 수 있습니다 . #Sarcasm """,1
107,바바리맨을 희망하는 모든 성추행범 워너비들은 먼저 지검장이 되기위해 필사적으로 노력하시기 바랍니다  #오늘_sarcasm_좀_돋는듯 URL,1
108,@user 은영 하이 ^ ^,0
109, 안되겠소 다시 쏩시다 ( 탕 pic.twitter.com/Pm4bSHrVND,1
110,"임보 , 입양은 작은 생명을 살리는일 ~ RT "" @user : 예쁜 푸들공주 프림이 입니다 . 프림이가 두려운 보호소를 탈출할수 있도록 가족이되어주세요 임보나 입양 그 어떤 방법이라도 프림이를 꺼내주고 URL :/ / me2.do/GnW4wW6 """,0
111,배우 강지환의 차형사 기대해주세요 ~ URL,0
112,"서울 20대 투표율을 보라 희망은 있다 총선 투표율이 실시간으로 집계되는 상황에서 ' 연령별 투표율 ' 을 확인하려면 몇 달 걸린다는게 상식적으로 납득이 되는가 ? 또 , 20대 여성 8 % ? 트윗도 끝없이 방법적 회의를 통해 수용해야한다",0
113,@user @user 훌륭한 박후보 ^ ^ ,1
114,님은 바로 무엇입니까 ! 님은 바로 민주주의의 낙원을 말하는것입니다 ! 여러분 ! ,1
115,@user 굿모닝,0
116,정말정말 웃긴 거 보고 모니터에다 포카리 스웨트 격뿜한게 있는데 ... 그건 울집 컴퓨터가 아니라서 다행이다 ... ,1
117,@user 후후 .. 다 아는 수가 있습니다 !  그리고 또다른 사진들 ! pic.twitter.com/k8wOqU7oWU,1
118,@user @user @user 한국 영치러님들 납치해서 한치 팬픽을 쓰게 하면 완전 망붕썰 정권교체도 이뤄질것 같은 이 느낌 ...  그나저나 시크릿 서비스가 그런 것이었군요 ㄷㄷㄷ 우주가 ...,1
119,@user 기계에 먼지 한올 들어가지 못하게 막지 그래 ? 그 편이 훨씬 빠를것 같은데 . ,1
120,,1
121,아이쿠 - 벌써 구정이 다가왔네 .,0
122,@user 프로젝트 아이마스를 접수하고자 둘이 퓨전해 시간까지 뛰어넘어 투입된 아이돌이 쟤죠 . ,1
123,@user 왜,0
124,"RT @user : Thank you ! 환전송금 페스티발을 시작합니다 [ 팔로우 + RT ] 하시면 총 100분에게 스타벅스카페라떼 기프티콘을 드립니다 . ( 추첨일 12.12 일 , 12.19 일 , 12.26 일 , 1 ... URL",0
125,@user 헿 전 야행성이니까 괜찮아요 ! ,1
126,에잇 죽어버릴까 ? 안되지 받는걷보다 주는것이 더욱줄거우니 화이트데이날 사탕줄그녀를 찾아봐야지,0
127,@user 아 .. 안녕하세요 .,0
128,@user 누울꺼면 ... 비켜줄까 ? ,1
129,@user 승우오빠 귀엽게 나왔내,0
130,그러고보니 22화 엔딩컷에서 이마요시-완테 미도리마-반테 휴가 무테인갘ㅋㅋㅋ 안경도 나름 개성이 있구만 ? ? ,1
131,더부어민주당 . ,1
132,흐흐 . 9시 전에 일어나기 성공,0
133,"삼일절이 팬미라고 특정국적을 차별하면 인피니트 멤버들이 엄청나게 잘한다고 칭찬해줄것같나 ? .. 오히려 실망하겠지 .. 국적을 넘어 같은 가수를 사랑해주고 자비를들여 한국까지와서 응원해주는건데 , 같은마음을가진 같은 팬들에게 섬녀 ? 출입제한 ? 이건 뭔 ..",0
134,졸려 ...,0
135,@user 우옹 멋지당ㅋㅋ,0
136,@user 그대로 두 자리까지 돌파하실거죠 ? 응원하고 있을게요 #찡긋 ,1
137,Produce 101 [ 4회 ] 화제의 그녀들 ! - 1조 원더걸스 ♬ Irony 160212 EP . 4 #Sohye #Sejeong #Produce101 #Irony URL …,1
138,도깨비 아님 #공유 #글감 #그냥쓰는시 # 씀 # 시 #감성스타그램 #도깨비  URL,1
139,@user 으하하하 ~ 오늘좀 몸좀 푸시것어여 ~ ㅋㅋ,0
140,@user 뇽토리얼 ! ( ≥ ∀ ≤ ) / ,1
141,저는 한곡을 공부함니다 ! Fighting !,0
142,@user 대전으로 놀러온다니 고마워 ,1
143,@user 그럴까요 ? 언제든지 화녕합니다 #웃음 언제 처음 반했다던가 매력이 무엇이라던가 어떤것이든 이야기할수잇어요 ,1
144,이모가 4살 조카에게 과자 한개만 줘 ! 조카왈 엄마 말 잘 들으면 엄마가 과자 사준다 ! 엄마는 만능 해결사 나의 해결사는 누굴까 ?,0
145,@user 전 인피니트 싫어요 ,1
146,안드로이드들 데리고 산책도 못가는 주제에 ..,0
147,"@user 그  만 없었으면 좋았을텐데 . 난 진심이였다고 , 셜록 .",1
148,제2금융권 가계대출 증가율 예금은행 3배 : 지난 1년간 제2금융권의 가계대출 증가율이 시중은행의 3배에 달하는 것으로 나타났다 . 시중은행들이 신규 가계대출을 일부 중단하면서 금융소비자들이 .. URL,0
149,상쾌한 월요일 아침 . ,1
150,@user 제가 좀 . #데헷 ,1
151,RT @user : RT이벤트 > > 가을 단풍놀이시즌 ! 여러분이 다녀온 단풍놀이 사진에 #KALTOK 을 붙여 트윗 해주세요 ^ ^ 추첨을 통해 기프티콘을 드려요 ( 발표10 / 15 ) URL URL,0
152,Wonder Girls ( 원더걸스 ) - Irony #Sunye #YeEun #Sunmi #Sohee #Hyunah #WonderGirls #Irony #Debut #JYP URL,1
153,"검을 든 꽃 완독 . 문득 판타지소설 내에서 , 마탑 소속의 마법사 , 현자 , 마스터들이 가족을 이룬 경우보다 기사 , 마스터가 가족을 이룬 경우가 더 많지 않나라는 생각이 머리를 스치고 지나감 . 전자는 석박사와 포닥을 , 후자는 장교를 투영한 것이라 그러한가 !  #망상 #교수는_어디로",1
154,"RT @user 올 겨울 , 고수와 한효주가 제대로 연애합니다 빛나는 포스터 최초공개 ! URL ( 궁금해요 ~ ~ ? 궁금하면 RT ! ! 추첨해서 예매권줄께요 ~ ~ )",0
155,음 좋아 그래 1백정도면 해도 괜찮을거야 고작 100연차밖에 안되는걸 ,1
156,@user 알겠어 우쭈쭈,0
157,"평소 빗물만 잘 관리하면 가뭄과 홍수를 막을 수 있다고 주장해 온 이학렬 고성군수가 세계물협회로 부터 아시아 대표로 상을 받았다 . ‘ 하늘이 내린 빗물 , 공룡을 깨우다 ’ 라는 주제 선정 및 국제물포럼 개최 , 그 ... URL",0
158,정가 9만원되면 최소 18만원에 시작해야되는데 값싸다 . 진짜 양심 있는 되팔이구만 ,1
159,전제군주정 한 번 가시죠 . ,1
160,@user ㅇㅂㅇ ... #탐라에_불을_지른다 ,1
161,"@user 새누리당은 박후를 대권에 성공 하려면 친박 핵심인 최경환 , 서병수의원등 핵심 인물을 빨리 바꿔야한다 . 타이밍을 놓치면 또헛빵 ~ ~",0
162,환율급등 ... 코스피 오늘도 탈탈탈 털리려나 ㅠ_ㅠ,0
163,어 ... 정말 ... ? 굴러 ! ( ? ? ? ? ? ? ? ? ? ? ) ,1
164,@user 일본측은 보통 3차원계는 팬픽을 찾기 힘든지라 ... ; ; 캐붕이 적으려면 적어도 00년대 후반부터 쓰인 걸 봐야 ... ! ( 특히 하이도는 00년대 전중반까지도 90년대삘로 해석되서 ; ;( 천사작고귀엽고아담하고 ... 등등 어쨌든 총수 ? ,1
165,ㅋ .. ㅋ .. 결제까지 완료 ... ㅋ 난 이제 수능공부만 하면 된다 ! ! ! ! 아 행복해 ! ! ! ! ! ,1
166,@user 저는 이 아침에 얼토당토 않은 경상도는 일본앞잡이란 글을 봐야합니까 ! 그리고 진보다운 생각은 뭡니까 ? 님이 말하는 그 옳은소린뭐고요 ? 경상도사람은 죄다 일본앞잡이다 ? 그겁니까 ? 님이 뭔데 경상도사람들이 오랑캐란말을합니까 ? 그게 진보입니까 ?,0
167,@user 아마 다른 의미의 ' 딸벗'이 있지 않았을까 하는 생각도 들고요 ... ,1
168,플래그를 세우면서도 100퍼센트 회수는 안하고 클리셰에 정석을 따라가면서도 괜찮게 소화된 느낌 .,0
169,큰 아이가 실내화를 직접 빨기로 한 날 ~ 한 삼십분은 빨았나 보다 .. ㅋ 이제 다 키웠다 ~,0
170,@user @user 모라고요 ? ? 라로책 낸다구요 ? ? ? 내가 비록 라로를 시 ... 싫 ... 좋아하지 않긴 하지만 나오면 삼 ! ! ! ! ! ! ! ! ! ! ! ! ! !,0
171,앞으로 브리핑만 보겠습니다 . @user : 격하게 반깁니다 ! ! RT @user : 모처럼 조간신문 브리핑을 해봅니다 . URL 오늘 것은 시험판이고 곧 정상적으로 재개하겠습니다 .,0
172,@user 왜요 ? 더 죽여요 ? ∇ ? ,1
173,바닐라라떼 ( @user STARBUCKS COFFEE w / 2 others ) URL,0
174,"@user @user @user 안녕하세요 . 다양한 상품들의 할인 정보와 이벤트 , 경품 정보 그리고 다양한 뉴스를 전해드리고 있습니다 . 친구가 되어주세요 ^ ^",0
175,@user 레모네이드를 한잔해야겠네요 . ㅋㅋㅋ,0
176,나꼼수의 인기를 더욱 높이기 위한 검 . 경의 행동이 시작 되었구나 .. 이럴때 타이거JK 형님의 노래가 생각난다 ... 발라버려 ( ? ) 날려버려 ( ? ) ...,0
177,결국 운동 + 음식 RT @user 문제는 운동만으로도 안빠진다는 것 . RT @user : 불변의 진리 RT @user : 이 세상에 온통 불확실한것 투성이 인데 . 한가지 확실한건 다이어트 식품으론 살 안빠진다는것 . 역시 운동해야 돼 ..,0
178,선생님 어휴 저질 ,1
179,"500님의 소망 : "" 부지런하게지냈으면좋겠어요 "" -> 뽑은 타로카드 : [ No . 6 The Lovers ( 연인 ) : 연애운 만땅 ] pic.twitter.com/MRmdHW2H URL",0
180,남자로 태어난다면 남자를 사랑해야지 ,1
181,도밍님 방에서 살고 싶 ... ,1
182,금연진행중 군것질만늘어서 큰일이다 밤늦게 삼겹살까지 먹엇다 URL,0
183,1인칭은 역시 오레사마죠 . ,1
184,아 ... 11시에 축가가 왠말이냐 ... ㅠㅠㅠ 목 안풀려서 왕창 삑사리 돋을 기세 ... 암튼 ! ! ! 굿모닁 ~ ~ ~ ^ __ ^,0
185,ㅋㅋㅋ집사 1년동안 키워줘서 고마워서 ? ? ? ㅋㅋㅋ #은혜갚은_냥이  ㅋㅋㅋ,1
186,알송 안드로이드에서 #ClariS -  듣는 중 !,1
187,@user @user 보스의 순결이나 걱정하시지 ? ,1
188,@user 엇 ? ! 홀리님 ! ! 아직 안가셨네요 ? ? ㅎㅎ 몸 조심히 잘 다녀오세요 ! ! 비록 트친된지 얼마 안됐지만 님은 좋은 분이셨어요 ... 또르르 ... *,0
189,심신이 피곤해서 들었던 극단적인 생각이었지만 적어도 졸업할 때 대 빅엿 먹이고 나가야겠단 생각을 접지 않게 해준 고마운 순간이었다 . ,1
190,내 자캐로 덕통사고 내면 ... 그냥 존잘님과 나는 솔메인게 아닐가 ,1
191,"RT @user "" MB 사저 부지는 범죄현장 ... 국민 화병난다 "" URL URL ? cntn_cd = A0001641691 …",0
192,제 인격은 토끼의 간과 같습니다 ... (  ),1
193,@user 넵 ㅋㅋ,0
194,조용히 등장해 떠들썩 하게 사라진다  URL …,1
195,@user 인생머있나요 즐거우면 그만이지 #파스슷 ,1
196,WIZ @user : 국내 최초의 토종학습지 재능교육의 35년의 노하우로 탄생한 e학습전문공부방 000문항단위 실시간 디지털 코스학습 000의 이름은 ? URL :/ / www.jeiwiz . 정답을 맞추신 3분께 징거박스밀을 ! 9/21 오전10시발표,0
197,호랑이가 떡을 머리에 이고 가던 할머니를 붙잡아다 떡 하나 주면 안 잡아먹지 그랬대요 그런대 그 떡이 가래떡이라거 호랑이가 먹는데 아무리 먹고 먹어도 줄지가 않더래요 그러다 리밋 ,1
198,지력 . 지능 할 때 지 맞지 ? ,1
199,"[ 수도권 09:00 분 현재 ] 기상 : 수도권 일부구간 ( 용인시 , 안성시 , 고양시 , 성남시 , 광주시 , 시흥시 , 인천광역시 , 양평군 , 평택시 , 안산시 , 하남시 , 구리시 , 파주시 ) 빗길주의 , 감속 안전운행 하시기 바랍니다 . #traffic_kor",0
200,@user @user @user 맞팔감사합니다 . ^ ^,0
201,@user 글로오오리아 인엑첼시스데오'ㅅ ' / ,1
202,순수하고 매력적이신 여성분입니다 !  URL …,1
203,"[ SayGJ ] ( 기아타이거즈 ) KIA , 아쉬움이 남았던 이대진의 LG행 : KIA , 아쉬움이 남았던 이대진의 LG행 현재 기아타이거즈는 과거 타이거즈의 영광을 되찾기를 위한 움직임이 분주하다 . 먼 ... URL",0
204,@user 유저계라도 팔로해 ~ ,1
205,"2015040 4 마버킷 밤공 박유덕 배두훈 페어 "" 나 ~ ~ 나쁜자ㅅ ... ""  pic.twitter.com/2v4ymZGVLO",1
206,야호신난다  URL,1
207,목모닝 ~ ~ ^ ^ 오늘은 아이가 소화를 못시켜서 답답해 할때 팁 알려드릴께요 ~ ! 1 . 손바닥 판문혈과 내팔괘 문지르기 ( 아이의손을 위로향하게하고 ) 2 . 팔 만지기 3 . 배 문지르기 ( 엄지손가락을제외한 4손가락으로 가볍게 시계방향으로 ) 기억해두었다가 실천해봐요 ~ ^ ^,0
208,@user 근데 많이들 남기길래 왜 그런가 해서 먹어본 사람들한테 물었더니 좀 달대 .. ! 저런 건 단 맛으로 먹는 거 아닌가 ! ,1
209,@user 브루클린 퀸즈 크로스 ! ! ! ,1
210,@user @user 내 성생활은 물건너갔군 . #Sarcasm,1
211,"동방의 모든 술법에 통달한 동박박사 셋이 문화 교류를 위해 찾아오니 서방의 모든 박사들의 주문은 파훼되어 무릎 꿇었도다 . 동방박사들은 기고 만장하여 패배와 가르침을 구한다며 서방을 돌아다니되 , 마굿간에서 한 아이의 울음소리 울려퍼지나니 ",1
212,@user 하실 말씀도 있나보죠 ? ,1
213,@user 조급해서 협박을 하냐 ? ,1
214,"모드리치 , 레알 마드리드와 계약 임박 ‘ 토트넘 결정 대기 중 ’ URL ? id = 01420120707 3008565 …",0
215,@user ? ? ? ? 왜요언니 ? ? ? ㅠㅠ,0
216,@user @user 하요,0
217,봄이 꿈틀거리네요 RT @user : URL [ Daum블로그 ] 2월의 햇살에 노루귀가 활짝 웃네요 ~ ! : 요런모습의 망울을 보기 까지가 얼마나 긴 ~ ~ ~ 기다림이 있었는지 모른 다 . 지난해에 들여온 이 노루귀 ~ !,0
218,내가 보고싶다고 울면 안돼 ~,0
219,@user 침대가 저를 놓아주지않아요 ! 분명히 뭔가 저주라도걸려있는게 분명해요 ,1
220,@user 역시 공부중에는 딴짓이 ... ,1
221,2012-03- 24 런치팅에 초대합니다 . 지금 신청하세요 . ( URL ) #lunchting,0
222,@user ( 사랑니 : 적들이 들어온다 매복하라 ... ,1
223,벌써 주말이네요ㅋ 주말에 비소식있다고 들었는데 우산 잘 챙기시구요 ~ 모두들 오늘도 좋은 하루 되세요 ㅋ요즘에는 이윤석 루머해명 실시간 관심주제군요 ~ 연예인 뇌구조 테스트도 해보세요 ~ 잘맞아요 ! URL,0
224,"@user URL "" 카드론피싱사고 예방소홀 책임이 있는 카드사가 피해고객 과실을 따진다는 점에 대해서 어떻게 생각하시나요 ? "" 설문에 투표 간절히 부탁드립니다 . 도와주세요 . URL",0
225,@user 정말 입에 들어 부어주고 싶은걸 ? 그건 그렇고 때꾸라가 카부키쵸라는 곳에 여왕님이라며 ? #비웃 ,1
226,""" 경기도문화의전당 "" 앞마당에는 유리 피라미드가 있다 . 루브르 박물관에 온 줄 ...  #오세요경기도 #오세요수원시pic .twitter.com/C7NwUtGnjm",1
227,@user 참으로 아름다운 모습이다 ... ,1
228,@user 옹 리얼리 언팔해서 ... 근데 너 아이디 외우기 힘드렁 ...,0
229,@user 정말 박원순씨는 언어의 마술사인가부다 ,1
230,바나나동산 뇌구조 테스트 로그인 없이 바로 보기 ~ 그리고 요즘 박상민 억빚 혜민스님 눈물 정말 화제네요 ~ URL,0
231,동물에게 성욕을 느껴 코피가 나는 맥시모프 .. ,1
